Reviews,Acting,Plot,Scene,Comedy,Touching
"Xem buồn ngủ lắm 1. nội dung k có gì đặc sắc 2. Hình ảnh, diễn ổn",1,1,1,0,0
"Phim hay, coi cuốn từ đầu tới cuối nha. Phim có nhiều ý nghĩa, phong cảnh quay đẹp. Phim z mà chê nữa mấy má bật hài coi đi cho đỡ nhàm csong",0,1,1,1,0
Nhiều sr fim giống nên xem hơi nhàm,0,0,0,0,0
"Phim đáng xem, xứng danh bom tấn. Các cảnh quay rất thật, diễn viên nhập vai xuất sắc. 10 điểm không có nhưng.",1,0,1,0,0
"Cài cắm nhiều nút thắt “đòn bẫy” xuyên suốt, tác phẩm khiến người xem phải tò mò, mong đợi vào những phần tiếp theo. Nhìn chung, tác phẩm giữ được phong độ của loạt phim tiền nhiệm, đồng thời có những nét chấm phá riêng, cho thấy sự nghiêm túc của đội ngũ biên",0,1,0,0,0
Đây có lẽ là phần kém nhất trong 4 phần. Ko tệ mà cũng ko đến mức để nói là hay. Giống như là phần này là trailer dài 2h24p cho phần sau thì đúng hơn.,0,0,0,0,0
"Xem chán, ngủ gật trong rạp",0,0,0,0,0
cũm dc uy,0,0,0,0,0
lâu rồi mới xem được bộ phim hay. cảm nhận được ý nghĩa của phim rất nhiều. 4 phần thì phần nào cũng rất đáng xem,0,0,0,0,0
"Phim hay, đáng để xem, xem dưới góc nhìn của apes nên cay bọn người quá trời=))",0,0,0,0,0
Quá là hay luôn 👍,0,0,0,0,0
"Thời lượng hơi dài, tầm 2h là oke",0,0,0,0,0
Giỏi quá vậy chúc mừng,0,0,0,0,0
ai coi phim bây h kh mình pass vé ghế dẹp,0,0,0,0,0
"Phim nào ra rạp xem cũng ok do âm thanh sống động. Nhưng phần này thì hơi mơ hồ quá, nhân vật Noa cũng ko có gì nổi bật . T thấy là dù là Phim nào đi nữa cũng nên coi từ các phần đầu mới hiểu đc. Ai chưa xem nên xem từ p1 nhé. Nếu ai nghĩ xem phần này mà suy",0,1,0,0,0
Đầu giữa okee mà do phim dài quá r nên cuối bị gọn quá nên xem hơi cấn,0,1,0,0,0
"Phim chán, quá chậm, k j mới, nói chung là thấy dở 🥹",0,0,0,0,0
"Khá hay… mặc dù chưa coi 3 phần kia nhưng coi phần này cũng đón đc mấy phần trước, mong ra phần tiếp",0,0,0,0,0
"Phim này xem cảnh thì xem chứ tình tiết đặc sắc thì ít, giống xem thế giới đv",0,1,1,0,0
Ok,0,0,0,0,0
Hay,0,0,0,0,0
"Hay xuất sắc, ai xem những phần trc mới cảm nhận đc phần này ntn",0,0,0,0,0
Phải noi là phần phim hành tinh khỉ dở nhấttuwf trước đến h,0,0,0,0,0
Phim hay nha. K nên coi mấy khứa cmt trên này. Cứ ra rạp trải nghiệm đi chứ :))) Dù nó bị vắt sữa nhưng vẫn hay nhất tháng 5 này :v,0,0,0,0,0
Rồi bà nv chính lừa khỉ. Xong lấy súng bắn. Xong đến tạm biệt còn giấu cây súng ở sau lưng để làm gì nữa vậy. Đúng là k tin được con người mà. Ghét bà nhân vật chính trong này quá.,0,1,0,0,0
Quá dở,0,0,0,0,0
Phim buồn ngủ . Ai thích chậm hả xem,0,0,0,0,0
Hình ảnh phim đẹp Tuy nhiên kịch bản lan man quá,0,0,1,0,0
Chán nha. 😀👎,0,0,0,0,0
Phim hay,0,0,0,0,0
Không như mong đợi tạm ổn thôi,0,0,0,0,0
Series này mãi hay,0,0,0,0,0
"Coi phim phần đầu dài lê thê buồn ngủ không chịu nổi luôn, dở hơn 2 phần trước rất nhiều, nguyên rạp cứ kiểu nói chuyện phiếm luôn chứ chỉ tập trung được vài khúc hành động 🥹🥹",0,0,0,0,0
Phim hay quá tr đáng xem lắm :33,0,0,0,0,0
Cũng bình thường. Xem tạm cũng k thấy phí tiền lắm.,0,0,0,0,0
"Xem phim buồn ngủ dã man, kết mở xà lơ hết sức",0,0,0,0,0
"Phim hay lắm nha anh em, mấy đứa chê chắc do chưa coi phần 1 :))",0,0,0,0,0
Phim nhạt như nước ốc. Phí tiền,0,1,0,0,0
T thấy phim khá ổn về nội dung còn hình ảnh thì đẹp mắt… đáng xem nhất tháng r,0,1,1,0,0
Nhịp phim hơi chậm . Không kịch tính lắm.,0,1,0,0,0
"Phim hay trong dàn phim kinh dị ra rạp rồi, cốt truyện ổn, diễn viên ok, giọng thoại hay , nên đặt vé xem luôn ko nên xem trailer hay hình ảnh gì hết thì plot twist sẽ bất ngờ hơn.",1,1,1,0,0
ý kiến của mình thì thấy phim hay nha 🫰🏻,0,0,0,0,0
Phim hay nha mn :))) đáng để xem 1 lần trong đời,0,0,0,0,0
Máu me nhiều . Kinh dị một số pha hài hước đáng xem giải trí,0,0,0,1,0
Phim hay ạ. Coi thấy kịch tính thiệt. Đáng xem á mn,0,0,0,0,0
Phim hay và vui lắm nên xem nha,0,0,0,0,0
"Phim máu me, có plot twist cũng okila. Nên xem",0,0,0,0,0
"Phim không hay hài ko ra hài, kinh dị không kinh dị. Cốt chuyện không hay",0,1,0,1,0
Phim kinh dị mà hong sợ,0,0,0,0,0
"Lần đầu đánh giá phim, cá nhân tôi đây là phim kinh dị hay nhất nửa đầu năm nay. Nói chung đáng tiền ngồi rạp",0,0,0,0,0
Ui đáng xemmm lắm hiểu rõ lòng ngườii,0,0,0,0,0
Phim hay nha,0,0,0,0,0
Hay,0,0,0,0,0
"Phim khá hay, nhiều plot khá ổn, nhưng khuyến cáo ai sợ máu thì không nên xem vì phim kiểu ""khá"" là nhiều máu. Không có after the scene nên không cần đợi.",0,1,0,0,0
Phim hay,0,0,0,0,0
