Reviews,Acting,Plot,Scene,Comedy,Touching,Preprocessed Reviews
"Xem buồn ngủ lắm 1. nội dung k có gì đặc sắc 2. Hình ảnh, diễn ổn",1,1,1,0,0,xem buồn_ngủ 1 nội_dung không đặc_sắc 2 hình_ảnh diễn ổn
"Phim hay, coi cuốn từ đầu tới cuối nha. Phim có nhiều ý nghĩa, phong cảnh quay đẹp. Phim z mà chê nữa mấy má bật hài coi đi cho đỡ nhàm csong",0,1,1,1,0,phim hay coi cuốn từ đầu tới cuối phim nhiều ý_nghĩa phong_cảnh quay đẹp phim vậy_mà chê nữa mấy má bật hài coi đi đỡ nhàm cuộc_sống
Nhiều sr fim giống nên xem hơi nhàm,0,0,0,0,0,nhiều mùa phim giống xem hơi nhàm
"Phim đáng xem, xứng danh bom tấn. Các cảnh quay rất thật, diễn viên nhập vai xuất sắc. 10 điểm không có nhưng.",1,0,1,0,0,phim đáng xem xứng danh bom tấn các cảnh quay rất thật diễn_viên nhập_vai xuất_sắc 10 điểm không nhưng
"Cài cắm nhiều nút thắt “đòn bẫy” xuyên suốt, tác phẩm khiến người xem phải tò mò, mong đợi vào những phần tiếp theo. Nhìn chung, tác phẩm giữ được phong độ của loạt phim tiền nhiệm, đồng thời có những nét chấm phá riêng, cho thấy sự nghiêm túc của đội ngũ biên",0,1,0,0,0,cài cắm nhiều nút thắt đòn bẫy xuyên suốt tác_phẩm khiến người xem phải tò_mò mong_đợi vào những phần tiếp_theo nhìn_chung tác_phẩm giữ được phong_độ loạt phim tiền_nhiệm đồng_thời những nét chấm_phá riêng thấy sự nghiêm_túc đội_ngũ biên
Đây có lẽ là phần kém nhất trong 4 phần. Ko tệ mà cũng ko đến mức để nói là hay. Giống như là phần này là trailer dài 2h24p cho phần sau thì đúng hơn.,0,0,0,0,0,đây có_lẽ phần kém nhất trong 4 phần ko_tệ không đến mức để nói hay giống phần trailer dài 2 h24p phần sau đúng hơn
"Xem chán, ngủ gật trong rạp",0,0,0,0,0,xem chán ngủ_gật trong rạp
cũm dc uy,0,0,0,0,0,được uy
lâu rồi mới xem được bộ phim hay. cảm nhận được ý nghĩa của phim rất nhiều. 4 phần thì phần nào cũng rất đáng xem,0,0,0,0,0,lâu mới xem được bộ phim hay cảm_nhận được ý_nghĩa phim rất nhiều 4 phần phần_nào rất đáng xem
"Phim hay, đáng để xem, xem dưới góc nhìn của apes nên cay bọn người quá trời=))",0,0,0,0,0,phim hay đáng để xem xem dưới góc nhìn apes cay bọn người trời
Quá là hay luôn 👍,0,0,0,0,0,hay
"Thời lượng hơi dài, tầm 2h là oke",0,0,0,0,0,thời lượng hơi dài tầm 2 h ok
Giỏi quá vậy chúc mừng,0,0,0,0,0,giỏi vậy chúc_mừng
ai coi phim bây h kh mình pass vé ghế dẹp,0,0,0,0,0,ai coi phim bây_h không pas vé ghế dẹp
"Phim nào ra rạp xem cũng ok do âm thanh sống động. Nhưng phần này thì hơi mơ hồ quá, nhân vật Noa cũng ko có gì nổi bật . T thấy là dù là Phim nào đi nữa cũng nên coi từ các phần đầu mới hiểu đc. Ai chưa xem nên xem từ p1 nhé. Nếu ai nghĩ xem phần này mà suy",0,1,0,0,0,phim nào ra rạp xem ok do âm_thanh sống_động nhưng phần hơi mơ_hồ nhân_vật noa không nổi_bật t thấy dù phim nào đi_nữa cũng_nên coi từ các phần đầu mới hiểu được ai chưa xem xem từ p1 nếu ai nghĩ xem phần suy
Đầu giữa okee mà do phim dài quá r nên cuối bị gọn quá nên xem hơi cấn,0,1,0,0,0,đầu giữa ok do phim dài cuối gọn xem hơi cấn
"Phim chán, quá chậm, k j mới, nói chung là thấy dở 🥹",0,0,0,0,0,phim chán chậm không mới nói_chung thấy dở
"Khá hay… mặc dù chưa coi 3 phần kia nhưng coi phần này cũng đón đc mấy phần trước, mong ra phần tiếp",0,0,0,0,0,khá hay mặc_dù chưa coi 3 phần kia nhưng coi phần đón được mấy phần trước mong ra phần tiếp
"Phim này xem cảnh thì xem chứ tình tiết đặc sắc thì ít, giống xem thế giới đv",0,1,1,0,0,phim xem cảnh xem chứ tình_tiết đặc_sắc ít giống xem thế_giới đv
Ok,0,0,0,0,0,ok
Hay,0,0,0,0,0,hay
"Hay xuất sắc, ai xem những phần trc mới cảm nhận đc phần này ntn",0,0,0,0,0,hay xuất_sắc ai xem những phần trước mới cảm_nhận được phần như_thế_nào
Phải noi là phần phim hành tinh khỉ dở nhấttuwf trước đến h,0,0,0,0,0,phải noi phần phim_hành tinh_khỉ dở_nhấtuwf trước đến h
Phim hay nha. K nên coi mấy khứa cmt trên này. Cứ ra rạp trải nghiệm đi chứ :))) Dù nó bị vắt sữa nhưng vẫn hay nhất tháng 5 này :v,0,0,0,0,0,phim hay nha_k coi mấy khứa comment trên cứ ra rạp trải_nghiệm đi chứ dù nó vắt sữa nhưng hay nhất tháng 5 v
